ID,Year,
1,2016,Unintentional injuries,Unintentional injuries,Alabama,2755,55.5
2,2016,Unintentional injuries,Unintentional injuries,Alaska,439,63.1
3,2016,Unintentional injuries,Unintentional injuries,Arizona,4010,54.2
4,2016,Unintentional injuries,Unintentional injuries,Arkansas,1604,51.8
5,2016,Unintentional injuries,Unintentional injuries,California,13213,32
6,2016,Unintentional injuries,Unintentional injuries,Colorado,2880,51.2
7,2016,Unintentional injuries,Unintentional injuries,Connecticut,1978,50.3
8,2016,Unintentional injuries,Unintentional injuries,Delaware,516,52.4
9,2016,Unintentional injuries,Unintentional injuries,District of Columbia,401,58.3
10,2016,Unintentional injuries,Unintentional injuries,Florida,12561,54.9
11,2016,Unintentional injuries,Unintentional injuries,Georgia,4701,45.8
12,2016,Unintentional injuries,Unintentional injuries,Hawaii,577,35.3
13,2016,Unintentional injuries,Unintentional injuries,Idaho,849,49.5
14,2016,Unintentional injuries,Unintentional injuries,Illinois,5508,41
15,2016,Unintentional injuries,Unintentional injuries,Indiana,3496,51.6
16,2016,Unintentional injuries,Unintentional injuries,Iowa,1608,45.8
17,2016,Unintentional injuries,Unintentional injuries,Kansas,1444,45.7
18,2016,Unintentional injuries,Unintentional injuries,Kentucky,3194,71
19,2016,Unintentional injuries,Unintentional injuries,Louisiana,2710,57.4
20,2016,Unintentional injuries,Unintentional injuries,Maine,909,62.4
21,2016,Unintentional injuries,Unintentional injuries,Maryland,2271,35.7
22,2016,Unintentional injuries,Unintentional injuries,Massachusetts,3831,52.8
23,2016,Unintentional injuries,Unintentional injuries,Michigan,5313,50.5
24,2016,Unintentional injuries,Unintentional injuries,Minnesota,2697,43.8
25,2016,Unintentional injuries,Unintentional injuries,Mississippi,1803,59.2
26,2016,Unintentional injuries,Unintentional injuries,Missouri,3625,57
27,2016,Unintentional injuries,Unintentional injuries,Montana,626,54.1
28,2016,Unintentional injuries,Unintentional injuries,Nebraska,772,37
29,2016,Unintentional injuries,Unintentional injuries,Nevada,1395,46
30,2016,Unintentional injuries,Unintentional injuries,New Hampshire,924,66.6
31,2016,Unintentional injuries,Unintentional injuries,New Jersey,3839,40.8
32,2016,Unintentional injuries,Unintentional injuries,New Mexico,1487,69.5
33,2016,Unintentional injuries,Unintentional injuries,New York,7354,34.2
34,2016,Unintentional injuries,Unintentional injuries,North Carolina,5476,52.2
35,2016,Unintentional injuries,Unintentional injuries,North Dakota,371,45.4
36,2016,Unintentional injuries,Unintentional injuries,Ohio,7999,66.6
37,2006,All causes,All causes,Alaska,3354,787.6
38,2016,Unintentional injuries,Unintentional injuries,Oklahoma,2592,64.1
39,2016,Unintentional injuries,Unintentional injuries,Oregon,2105,46
40,2016,Unintentional injuries,Unintentional injuries,Pennsylvania,8410,61.8
41,2016,Unintentional injuries,Unintentional injuries,Rhode Island,675,56.6
42,2016,Unintentional injuries,Unintentional injuries,South Carolina,3012,58.9
43,2016,Unintentional injuries,Unintentional injuries,South Dakota,505,53.4
44,2016,Unintentional injuries,Unintentional injuries,Tennessee,4238,61.1
45,2016,Unintentional injuries,Unintentional injuries,Texas,10536,38.6
46,2016,Unintentional injuries,Unintentional injuries,Utah,1211,43.8
47,2016,Unintentional injuries,Unintentional injuries,Vermont,372,54.8
48,2016,Unintentional injuries,Unintentional injuries,Virginia,3710,42.4
49,2016,Unintentional injuries,Unintentional injuries,Washington,3221,41.4
50,2016,Unintentional injuries,Unintentional injuries,West Virginia,1705,89.7
51,2016,Unintentional injuries,Unintentional injuries,Wisconsin,3575,55.6
52,2016,Unintentional injuries,Unintentional injuries,Wyoming,371,61.9
53,2016,All causes,All causes,Alabama,52466,920.4
